"EntityUrn","CiteUrn","CtsUrn","Text","Notes"
"urn:cite:digAth:mentions.char1","urn:cite:digAth:characters.char1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Ἀθήναιος[1]-1.1@πατήρ[1]","Ἀθήναιος ὁ τῆς βίβλου πατήρ",""
"urn:cite:digAth:mentions.char2","urn:cite:digAth:characters.char2","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Τιμοκράτην","Τιμοκράτης",""
"urn:cite:digAth:mentions.char3","urn:cite:digAth:characters.char3","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Λαρήνσιος[1]-1.1@ποιούμενος[1]","Λαρήνσιος Ῥωμαῖος",""
"urn:cite:digAth:mentions.char4","urn:cite:digAth:characters.char1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Ἀθήναιος[2]","Ἀθήναιος",""
"urn:cite:digAth:mentions.char5","urn:cite:digAth:characters.char4","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@οἱ[1]-1.2@δειπνοσοφισταὶ[1]","οἱ δ᾽ ἐν τῷ δείπνῳ δῆθεν ἐπιδημήσαντες δειπνοσοφισταί",""
"urn:cite:digAth:mentions.char6","urn:cite:digAth:characters.char5","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Μανσούριος[1]-1.2@ποιητῶν[1]","Μανσούριος, νόμων ἐξηγητής",""
"urn:cite:digAth:mentions.char7","urn:cite:digAth:characters.char6","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Πλούταρχος, γραμματικῶν ὁ χαριέστατος",""
"urn:cite:digAth:mentions.char8","urn:cite:digAth:characters.char7","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Λεωνίδης ὁ Ἠλεῖος, γραμματικῶν ὁ χαριέστατος",""
"urn:cite:digAth:mentions.char9","urn:cite:digAth:characters.char8","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Αἰμιλιανὸς ὁ Μαυρούσιος, γραμματικῶν ὁ χαριέστατος",""
"urn:cite:digAth:mentions.char10","urn:cite:digAth:characters.char9","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Ζωίλος, γραμματικῶν ὁ χαριέστατος",""
"urn:cite:digAth:mentions.char11","urn:cite:digAth:characters.char10","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2@ὑπερηκοντικότες[1]","φιλοσόφων Ποντιανὸς ὁ Νικομήδης",""
"urn:cite:digAth:mentions.char12","urn:cite:digAth:characters.char11","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2@ὑπερηκοντικότες[1]","φιλοσόφων Δημόκριτος ὁ Νικομήδης",""
"urn:cite:digAth:mentions.char13","urn:cite:digAth:characters.char12","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Φιλάδελφός[1]-1.2@ἐξητασμένος[1]","Φιλάδελφός τε ὁ Πτολεμαεύς",""
"urn:cite:digAth:mentions.char14","urn:cite:digAth:characters.char13","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[2]-1.2@Κύνουλκον[1]","τῶν κυνικῶν Κύνουλκος",""
"urn:cite:digAth:mentions.char15","urn:cite:digAth:characters.char14","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ῥητόρων[1]-1.2@ἄγυρις[1]","ῥήτορες",""
"urn:cite:digAth:mentions.char16","urn:cite:digAth:characters.char15","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[1]-1.2@κυνικῶν[1]","οἱ κυνικοί",""
"urn:cite:digAth:mentions.char17","urn:cite:digAth:characters.char16","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Οὐλπιανὸς[1]-1.2@συός[1]","Οὐλπιανὸς ὁ Τύριος",""
"urn:cite:digAth:mentions.char18","urn:cite:digAth:characters.char17","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ἰατρῶν[1]-1.2@Νικαεύς[1]","Δάφνος Ἐφέσιος",""
"urn:cite:digAth:mentions.char19","urn:cite:digAth:characters.char18","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ἰατρῶν[1]-1.2@Νικαεύς[1]","Γαληνός ὁ Περγαμηνός",""
"urn:cite:digAth:mentions.char20","urn:cite:digAth:characters.char19","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ἰατρῶν[1]-1.2@Νικαεύς[1]","Ῥουφῖνός ὁ Νικαεύς",""
"urn:cite:digAth:mentions.char21","urn:cite:digAth:characters.char20","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@μουσικὸς[1]-1.2@Ἀλεξανδρεύς[1]","μουσικὸς Ἀλκείδης ὁ Ἀλεξανδρεύς",""
